bidder_tender_id,tender_id,bidder_id,bid_submission_date,bid_status,participation_status,bid_amount,documents_submitted_count,submission_completeness,scenario,difficulty_level,synthetic_flag
BT-000001,TND-000001,BID-001090,2026-04-27,SUBMITTED,ACTIVE,49448200.0,7,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000002,TND-000001,BID-000942,2026-04-27,SUBMITTED,ACTIVE,41723500.0,7,1.0,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000003,TND-000001,BID-001691,2026-04-27,SUBMITTED,ACTIVE,53899300.0,6,0.857,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000004,TND-000001,BID-001424,2026-04-27,SUBMITTED,ACTIVE,53940500.0,7,1.0,INCONSISTENT_DOCUMENT,MEDIUM,True
BT-000005,TND-000001,BID-001516,2026-04-27,SUBMITTED,ACTIVE,54541900.0,7,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000009,TND-000003,BID-000947,2025-11-25,SUBMITTED,ACTIVE,64026000.0,7,1.0,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000010,TND-000003,BID-000491,2025-11-25,SUBMITTED,ACTIVE,58305500.0,4,0.571,MISSING_DOCUMENT,MEDIUM,True
BT-000011,TND-000003,BID-001940,2025-11-25,SUBMITTED,ACTIVE,62853300.0,6,0.857,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000019,TND-000006,BID-000220,2026-04-01,SUBMITTED,ACTIVE,113867300.0,5,0.833,FULLY_COMPLIANT,EASY,True
BT-000020,TND-000006,BID-001353,2026-04-01,SUBMITTED,ACTIVE,138923300.0,6,1.0,HARD_AMBIGUOUS_CASE,EASY,True
BT-000021,TND-000006,BID-001159,2026-04-01,SUBMITTED,ACTIVE,136041400.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000022,TND-000006,BID-001797,2026-04-01,SUBMITTED,ACTIVE,104336600.0,6,1.0,EXPIRED_DOCUMENT,EASY,True
BT-000023,TND-000007,BID-000635,2026-04-22,SUBMITTED,ACTIVE,61847100.0,2,0.286,MISSING_DOCUMENT,HARD,True
BT-000024,TND-000007,BID-001792,2026-04-22,SUBMITTED,ACTIVE,61250900.0,7,1.0,MINOR_ISSUES,HARD,True
BT-000025,TND-000007,BID-001680,2026-04-22,SUBMITTED,ACTIVE,51142100.0,7,1.0,INSUFFICIENT_EVIDENCE,HARD,True
BT-000026,TND-000007,BID-000217,2026-04-22,SUBMITTED,ACTIVE,48015400.0,7,1.0,FULLY_COMPLIANT,HARD,True
BT-000027,TND-000007,BID-001888,2026-04-22,SUBMITTED,ACTIVE,47470400.0,6,0.857,FULLY_COMPLIANT,HARD,True
BT-000028,TND-000008,BID-001784,2026-06-16,SUBMITTED,ACTIVE,231002000.0,6,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000029,TND-000008,BID-000751,2026-06-16,SUBMITTED,ACTIVE,201110800.0,6,1.0,MINOR_ISSUES,MEDIUM,True
BT-000030,TND-000008,BID-000841,2026-06-16,SUBMITTED,ACTIVE,267874100.0,6,1.0,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000031,TND-000009,BID-001701,2026-10-04,SUBMITTED,ACTIVE,43782100.0,5,0.833,EXPIRED_DOCUMENT,MEDIUM,True
BT-000032,TND-000009,BID-000359,2026-10-04,SUBMITTED,ACTIVE,39556900.0,6,1.0,MINOR_ISSUES,MEDIUM,True
BT-000033,TND-000009,BID-001010,2026-10-04,SUBMITTED,ACTIVE,36845400.0,5,0.833,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000034,TND-000009,BID-001984,2026-10-04,SUBMITTED,ACTIVE,37592700.0,6,1.0,INCONSISTENT_DOCUMENT,MEDIUM,True
BT-000035,TND-000009,BID-001496,2026-10-04,SUBMITTED,ACTIVE,39834200.0,6,1.0,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000036,TND-000010,BID-000138,2025-11-06,SUBMITTED,ACTIVE,43775100.0,3,0.5,MISSING_DOCUMENT,HARD,True
BT-000037,TND-000010,BID-000612,2025-11-06,SUBMITTED,ACTIVE,42470900.0,6,1.0,EXPIRED_DOCUMENT,HARD,True
BT-000038,TND-000010,BID-000113,2025-11-06,SUBMITTED,ACTIVE,38447800.0,6,1.0,FULLY_COMPLIANT,HARD,True
BT-000039,TND-000011,BID-000719,2026-03-30,SUBMITTED,ACTIVE,170940700.0,5,0.833,FULLY_COMPLIANT,MEDIUM,True
BT-000040,TND-000011,BID-001643,2026-03-30,SUBMITTED,ACTIVE,131769900.0,5,0.833,MINOR_ISSUES,MEDIUM,True
BT-000041,TND-000011,BID-001896,2026-03-30,SUBMITTED,ACTIVE,161235200.0,6,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000042,TND-000011,BID-000364,2026-03-30,SUBMITTED,ACTIVE,140190600.0,5,0.833,MINOR_ISSUES,MEDIUM,True
BT-000043,TND-000012,BID-001484,2025-04-16,SUBMITTED,ACTIVE,63556900.0,5,0.714,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000044,TND-000012,BID-000798,2025-04-16,SUBMITTED,ACTIVE,61262200.0,7,1.0,HARD_AMBIGUOUS_CASE,MEDIUM,True
BT-000045,TND-000012,BID-001004,2025-04-16,SUBMITTED,ACTIVE,61685500.0,6,0.857,MISSING_DOCUMENT,MEDIUM,True
BT-000046,TND-000012,BID-000184,2025-04-16,SUBMITTED,ACTIVE,70679200.0,4,0.571,MINOR_ISSUES,MEDIUM,True
BT-000047,TND-000013,BID-000238,2025-05-13,SUBMITTED,ACTIVE,62027000.0,5,0.833,FULLY_COMPLIANT,MEDIUM,True
BT-000048,TND-000013,BID-001896,2025-05-13,SUBMITTED,ACTIVE,65389200.0,5,0.833,MINOR_ISSUES,MEDIUM,True
BT-000049,TND-000013,BID-001699,2025-05-13,SUBMITTED,ACTIVE,65809600.0,6,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000050,TND-000013,BID-001575,2025-05-13,SUBMITTED,ACTIVE,64845600.0,6,1.0,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000051,TND-000014,BID-001413,2026-05-04,SUBMITTED,ACTIVE,127371400.0,6,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000052,TND-000014,BID-000173,2026-05-04,SUBMITTED,ACTIVE,121820300.0,5,0.833,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000053,TND-000014,BID-001374,2026-05-04,SUBMITTED,ACTIVE,119262700.0,6,1.0,MINOR_ISSUES,MEDIUM,True
BT-000054,TND-000015,BID-000524,2025-10-05,SUBMITTED,ACTIVE,24602100.0,6,1.0,INSUFFICIENT_EVIDENCE,EASY,True
BT-000055,TND-000015,BID-001923,2025-10-05,SUBMITTED,ACTIVE,28371400.0,6,1.0,EXPIRED_DOCUMENT,EASY,True
BT-000056,TND-000015,BID-001938,2025-10-05,SUBMITTED,ACTIVE,24673200.0,6,1.0,HARD_AMBIGUOUS_CASE,EASY,True
BT-000057,TND-000015,BID-000452,2025-10-05,SUBMITTED,ACTIVE,31778600.0,6,1.0,MINOR_ISSUES,EASY,True
BT-000058,TND-000015,BID-000317,2025-10-05,SUBMITTED,ACTIVE,30031500.0,6,1.0,FULLY_COMPLIANT,EASY,True
BT-000059,TND-000016,BID-000478,2025-09-06,SUBMITTED,ACTIVE,198579600.0,5,0.833,EXPIRED_DOCUMENT,MEDIUM,True
BT-000060,TND-000016,BID-001010,2025-09-06,SUBMITTED,ACTIVE,230305800.0,5,0.833,PARTIAL_COMPLIANCE,MEDIUM,True
BT-000061,TND-000016,BID-001044,2025-09-06,SUBMITTED,ACTIVE,225298200.0,6,1.0,FULLY_COMPLIANT,MEDIUM,True
BT-000062,TND-000017,BID-000045,2025-07-04,SUBMITTED,ACTIVE,115691500.0,6,1.0,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000063,TND-000017,BID-000310,2025-07-04,SUBMITTED,ACTIVE,134261700.0,3,0.5,MISSING_DOCUMENT,MEDIUM,True
BT-000064,TND-000017,BID-001813,2025-07-04,SUBMITTED,ACTIVE,133829500.0,6,1.0,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000065,TND-000017,BID-001355,2025-07-04,SUBMITTED,ACTIVE,136080000.0,6,1.0,INSUFFICIENT_EVIDENCE,MEDIUM,True
BT-000066,TND-000017,BID-001938,2025-07-04,SUBMITTED,ACTIVE,111096700.0,5,0.833,FULLY_COMPLIANT,MEDIUM,True
BT-000067,TND-000018,BID-001667,2025-03-09,SUBMITTED,ACTIVE,122045700.0,7,1.0,INSUFFICIENT_EVIDENCE,MEDIUM,True
