document_id,bidder_id,tender_id,document_type,document_name,document_status,issue_date,expiry_date,company_name_on_document,document_quality,ocr_required,page_count,source_page,difficulty_level,synthetic_flag
DOC-000001,BID-001090,TND-000001,GST Certificate,GST Certificate — GridlineNetworks Limited 1090,VALID,2024-07-02,2026-09-19,GridlineNetworks Limited 1090,HIGH,False,6,1,MEDIUM,True
DOC-000002,BID-001090,TND-000001,Supporting Document,Supporting Document — GridlineNetworks Limited 1090,VALID,2025-08-12,,GridlineNetworks Limited 1090,LOW,False,4,1,MEDIUM,True
DOC-000003,BID-001090,TND-000001,Udyam/MSME Certificate,Udyam/MSME Certificate — GridlineNetworks Limited 1090,VALID,2024-01-09,2026-05-27,GridlineNetworks Limited 1090,MEDIUM,False,6,5,MEDIUM,True
DOC-000004,BID-001090,TND-000001,OEM Authorization,OEM Authorization — GridlineNetworks Limited 1090,VALID,2024-11-01,2026-11-28,GridlineNetworks Limited 1090,HIGH,False,3,3,MEDIUM,True
DOC-000005,BID-001090,TND-000001,Financial/Turnover Document,Financial/Turnover Document — GridlineNetworks Limited 1090,VALID,2024-01-01,,GridlineNetworks Limited 1090,LOW,False,3,1,MEDIUM,True
DOC-000006,BID-001090,TND-000001,PAN Document,PAN Document — GridlineNetworks Limited 1090,VALID,2025-03-14,,GridlineNetworks Limited 1090,HIGH,False,3,2,MEDIUM,True
DOC-000007,BID-001090,TND-000001,Experience Certificate,Experience Certificate — GridlineNetworks Limited 1090,VALID,2025-08-11,,GridlineNetworks Limited 1090,MEDIUM,False,3,3,MEDIUM,True
DOC-000008,BID-000942,TND-000001,GST Certificate,GST Certificate — SolvexServices Pvt Ltd 0942,VALID,2025-05-27,2027-08-28,SolvexServices Pvt Ltd 0942,MEDIUM,False,3,2,MEDIUM,True
DOC-000009,BID-000942,TND-000001,Supporting Document,Supporting Document — SolvexServices Pvt Ltd 0942,VALID,2025-10-19,,SolvexServices Pvt Ltd 0942,HIGH,False,4,1,MEDIUM,True
DOC-000010,BID-000942,TND-000001,Udyam/MSME Certificate,Udyam/MSME Certificate — SolvexServices Pvt Ltd 0942,VALID,2024-09-01,2026-05-27,SolvexServices Pvt Ltd 0942,HIGH,False,5,5,MEDIUM,True
DOC-000011,BID-000942,TND-000001,OEM Authorization,OEM Authorization — SolvexServices Pvt Ltd 0942,VALID,2025-04-13,2027-03-04,SolvexServices Pvt Ltd 0942,MEDIUM,False,6,2,MEDIUM,True
DOC-000012,BID-000942,TND-000001,Financial/Turnover Document,Financial/Turnover Document — SolvexServices Pvt Ltd 0942,VALID,2025-07-13,,SolvexServices Pvt Ltd 0942,POOR,True,3,3,MEDIUM,True
DOC-000013,BID-000942,TND-000001,PAN Document,PAN Document — SolvexServices Pvt Ltd 0942,VALID,2024-09-30,,SolvexServices Pvt Ltd 0942,HIGH,False,3,1,MEDIUM,True
DOC-000014,BID-000942,TND-000001,Experience Certificate,Experience Certificate — SolvexServices Pvt Ltd 0942,VALID,2026-02-22,,SolvexServices Pvt Ltd 0942,HIGH,True,4,1,MEDIUM,True
DOC-000015,BID-001691,TND-000001,GST Certificate,GST Certificate — ZenithSolutions LLP 1691,VALID,2025-01-29,2026-05-27,ZenithSolutions LLP 1691,MEDIUM,False,4,3,MEDIUM,True
DOC-000016,BID-001691,TND-000001,Udyam/MSME Certificate,Udyam/MSME Certificate — ZenithSolutions LLP 1691,VALID,2024-10-16,2026-05-27,ZenithSolutions LLP 1691,MEDIUM,False,6,6,MEDIUM,True
DOC-000017,BID-001691,TND-000001,OEM Authorization,OEM Authorization — ZenithSolutions LLP 1691,VALID,2026-01-31,2028-03-01,ZenithSolutions LLP 1691,HIGH,False,6,6,MEDIUM,True
DOC-000018,BID-001691,TND-000001,Financial/Turnover Document,Financial/Turnover Document — ZenithSolutions LLP 1691,VALID,2025-01-17,,ZenithSolutions LLP 1691,HIGH,False,5,5,MEDIUM,True
DOC-000019,BID-001691,TND-000001,PAN Document,PAN Document — ZenithSolutions LLP 1691,VALID,2024-06-29,,ZenithSolutions LLP 1691,MEDIUM,False,4,3,MEDIUM,True
DOC-000020,BID-001691,TND-000001,Experience Certificate,Experience Certificate — ZenithSolutions LLP 1691,VALID,2026-04-13,,ZenithSolutions LLP 1691,HIGH,False,4,1,MEDIUM,True
DOC-000021,BID-001424,TND-000001,GST Certificate,GST Certificate — ApexDigital LLP 1424,INCONSISTENT,2025-02-27,2026-05-27,ApexDigitalLLP 1424,MEDIUM,False,4,4,MEDIUM,True
DOC-000022,BID-001424,TND-000001,Supporting Document,Supporting Document — ApexDigital LLP 1424,VALID,2025-11-03,,ApexDigital LLP 1424,HIGH,False,4,1,MEDIUM,True
DOC-000023,BID-001424,TND-000001,Udyam/MSME Certificate,Udyam/MSME Certificate — ApexDigital LLP 1424,INCONSISTENT,2026-01-14,2027-06-19,ApexDigital LLP 1424,LOW,False,6,2,MEDIUM,True
DOC-000024,BID-001424,TND-000001,OEM Authorization,OEM Authorization — ApexDigital LLP 1424,INCONSISTENT,2025-11-22,2027-10-03,ApexDigital LLP 1424,MEDIUM,False,3,2,MEDIUM,True
DOC-000025,BID-001424,TND-000001,Financial/Turnover Document,Financial/Turnover Document — ApexDigital LLP 1424,VALID,2026-04-13,,ApexDigital LLP 1424,LOW,False,6,4,MEDIUM,True
DOC-000026,BID-001424,TND-000001,PAN Document,PAN Document — ApexDigital LLP 1424,INCONSISTENT,2024-07-20,,ApexDigital LLP 1424s,HIGH,False,6,2,MEDIUM,True
DOC-000027,BID-001424,TND-000001,Experience Certificate,Experience Certificate — ApexDigital LLP 1424,INCONSISTENT,2024-01-09,,ApexDigital LLP 1424s,HIGH,False,5,5,MEDIUM,True
DOC-000028,BID-001516,TND-000001,GST Certificate,GST Certificate — OrionInfotech Limited 1516,VALID,2024-02-09,2026-05-27,OrionInfotech Limited 1516,POOR,True,4,3,MEDIUM,True
DOC-000029,BID-001516,TND-000001,Supporting Document,Supporting Document — OrionInfotech Limited 1516,VALID,2024-01-17,,OrionInfotech Limited 1516,MEDIUM,False,3,1,MEDIUM,True
DOC-000030,BID-001516,TND-000001,Udyam/MSME Certificate,Udyam/MSME Certificate — OrionInfotech Limited 1516,VALID,2024-07-09,2026-11-21,OrionInfotech Limited 1516,MEDIUM,False,4,3,MEDIUM,True
DOC-000031,BID-001516,TND-000001,OEM Authorization,OEM Authorization — OrionInfotech Limited 1516,VALID,2025-09-09,2026-06-28,OrionInfotech Limited 1516,HIGH,False,5,4,MEDIUM,True
DOC-000032,BID-001516,TND-000001,Financial/Turnover Document,Financial/Turnover Document — OrionInfotech Limited 1516,VALID,2024-07-05,,OrionInfotech Limited 1516,HIGH,False,6,5,MEDIUM,True
DOC-000033,BID-001516,TND-000001,PAN Document,PAN Document — OrionInfotech Limited 1516,VALID,2025-09-02,,OrionInfotech Limited 1516,HIGH,False,5,1,MEDIUM,True
DOC-000034,BID-001516,TND-000001,Experience Certificate,Experience Certificate — OrionInfotech Limited 1516,VALID,2025-10-24,,OrionInfotech Limited 1516,MEDIUM,False,3,3,MEDIUM,True
DOC-000053,BID-000947,TND-000003,GST Certificate,GST Certificate — ZenithSolutions LLP 0947,VALID,2024-10-04,2026-02-09,ZenithSolutions LLP 0947,MEDIUM,False,3,2,MEDIUM,True
DOC-000054,BID-000947,TND-000003,Supporting Document,Supporting Document — ZenithSolutions LLP 0947,VALID,2024-10-01,,ZenithSolutions LLP 0947,HIGH,False,5,3,MEDIUM,True
DOC-000055,BID-000947,TND-000003,Udyam/MSME Certificate,Udyam/MSME Certificate — ZenithSolutions LLP 0947,VALID,2024-06-21,2025-12-25,ZenithSolutions LLP 0947,HIGH,False,6,4,MEDIUM,True
DOC-000056,BID-000947,TND-000003,OEM Authorization,OEM Authorization — ZenithSolutions LLP 0947,VALID,2024-09-27,2026-09-27,ZenithSolutions LLP 0947,HIGH,True,4,4,MEDIUM,True
DOC-000057,BID-000947,TND-000003,Financial/Turnover Document,Financial/Turnover Document — ZenithSolutions LLP 0947,VALID,2024-11-07,,ZenithSolutions LLP 0947,HIGH,False,6,3,MEDIUM,True
DOC-000058,BID-000947,TND-000003,PAN Document,PAN Document — ZenithSolutions LLP 0947,VALID,2024-01-09,,ZenithSolutions LLP 0947,HIGH,False,6,4,MEDIUM,True
DOC-000059,BID-000947,TND-000003,Experience Certificate,Experience Certificate — ZenithSolutions LLP 0947,VALID,2025-11-01,,ZenithSolutions LLP 0947,POOR,True,5,2,MEDIUM,True
DOC-000060,BID-000491,TND-000003,GST Certificate,GST Certificate — ZenithSolutions LLP 0491,VALID,2023-08-01,2025-12-25,ZenithSolutions LLP 0491,MEDIUM,False,5,5,MEDIUM,True
DOC-000061,BID-000491,TND-000003,OEM Authorization,OEM Authorization — ZenithSolutions LLP 0491,VALID,2023-10-27,2025-12-25,ZenithSolutions LLP 0491,MEDIUM,False,4,1,MEDIUM,True
DOC-000062,BID-000491,TND-000003,Financial/Turnover Document,Financial/Turnover Document — ZenithSolutions LLP 0491,VALID,2025-07-22,,ZenithSolutions LLP 0491,HIGH,False,4,3,MEDIUM,True
DOC-000063,BID-000491,TND-000003,Experience Certificate,Experience Certificate — ZenithSolutions LLP 0491,VALID,2025-08-29,,ZenithSolutions LLP 0491,HIGH,False,4,1,MEDIUM,True
DOC-000064,BID-001940,TND-000003,GST Certificate,GST Certificate — EvercrestDigital LLP 1940,VALID,2025-08-20,2027-10-05,EvercrestDigital LLP 1940,LOW,True,4,3,MEDIUM,True
DOC-000065,BID-001940,TND-000003,Supporting Document,Supporting Document — EvercrestDigital LLP 1940,VALID,2023-09-05,,EvercrestDigital LLP 1940,HIGH,False,3,2,MEDIUM,True
DOC-000066,BID-001940,TND-000003,OEM Authorization,OEM Authorization — EvercrestDigital LLP 1940,VALID,2024-10-05,2026-04-06,EvercrestDigital LLP 1940,HIGH,False,6,6,MEDIUM,True
DOC-000067,BID-001940,TND-000003,Financial/Turnover Document,Financial/Turnover Document — EvercrestDigital LLP 1940,VALID,2024-12-24,,EvercrestDigital LLP 1940,HIGH,False,4,4,MEDIUM,True
DOC-000068,BID-001940,TND-000003,PAN Document,PAN Document — EvercrestDigital LLP 1940,VALID,2024-01-17,,EvercrestDigital LLP 1940,MEDIUM,False,3,3,MEDIUM,True
DOC-000069,BID-001940,TND-000003,Experience Certificate,Experience Certificate — EvercrestDigital LLP 1940,VALID,2024-04-07,,EvercrestDigital LLP 1940,HIGH,False,3,1,MEDIUM,True
DOC-000109,BID-000220,TND-000006,GST Certificate,GST Certificate — OrionInfotech Limited 0220,VALID,2026-03-15,2028-03-11,OrionInfotech Limited 0220,MEDIUM,False,4,1,EASY,True
DOC-000110,BID-000220,TND-000006,Supporting Document,Supporting Document — OrionInfotech Limited 0220,VALID,2024-04-18,,OrionInfotech Limited 0220,HIGH,False,5,5,EASY,True
DOC-000111,BID-000220,TND-000006,Financial/Turnover Document,Financial/Turnover Document — OrionInfotech Limited 0220,VALID,2025-07-23,,OrionInfotech Limited 0220,MEDIUM,False,6,3,EASY,True
DOC-000112,BID-000220,TND-000006,PAN Document,PAN Document — OrionInfotech Limited 0220,VALID,2025-01-11,,OrionInfotech Limited 0220,LOW,False,3,3,EASY,True
DOC-000113,BID-000220,TND-000006,Experience Certificate,Experience Certificate — OrionInfotech Limited 0220,VALID,2024-06-18,,OrionInfotech Limited 0220,HIGH,False,4,1,EASY,True
DOC-000114,BID-001353,TND-000006,GST Certificate,GST Certificate — VantageManufacturing Pvt Ltd 1353,INCOMPLETE,2025-11-08,2027-11-29,VantageManufacturing Pvt Ltd 1353,HIGH,False,6,1,EASY,True
DOC-000115,BID-001353,TND-000006,Supporting Document,Supporting Document — VantageManufacturing Pvt Ltd 1353,VALID,2024-10-12,,VantageManufacturing Pvt Ltd 1353,MEDIUM,True,3,1,EASY,True
DOC-000116,BID-001353,TND-000006,Udyam/MSME Certificate,Udyam/MSME Certificate — VantageManufacturing Pvt Ltd 1353,INCOMPLETE,2024-07-12,2026-05-01,VantageManufacturing Pvt Ltd 1353,MEDIUM,False,3,3,EASY,True
DOC-000117,BID-001353,TND-000006,Financial/Turnover Document,Financial/Turnover Document — VantageManufacturing Pvt Ltd 1353,VALID,2024-04-15,,VantageManufacturing Pvt Ltd 1353,HIGH,False,4,2,EASY,True
DOC-000118,BID-001353,TND-000006,PAN Document,PAN Document — VantageManufacturing Pvt Ltd 1353,VALID,2023-12-12,,VantageManufacturing Pvt Ltd 1353,MEDIUM,False,5,1,EASY,True
DOC-000119,BID-001353,TND-000006,Experience Certificate,Experience Certificate — VantageManufacturing Pvt Ltd 1353,VALID,2024-09-07,,VantageManufacturing Pvt Ltd 1353,HIGH,False,4,4,EASY,True
DOC-000120,BID-001159,TND-000006,GST Certificate,GST Certificate — VertexEnterprises Limited 1159,VALID,2025-02-06,2026-05-01,VertexEnterprises Limited 1159,POOR,True,3,1,EASY,True
DOC-000121,BID-001159,TND-000006,Supporting Document,Supporting Document — VertexEnterprises Limited 1159,VALID,2025-05-07,,VertexEnterprises Limited 1159,MEDIUM,False,3,2,EASY,True
DOC-000122,BID-001159,TND-000006,Udyam/MSME Certificate,Udyam/MSME Certificate — VertexEnterprises Limited 1159,VALID,2024-08-26,2026-05-01,VertexEnterprises Limited 1159,HIGH,False,6,3,EASY,True
DOC-000123,BID-001159,TND-000006,Financial/Turnover Document,Financial/Turnover Document — VertexEnterprises Limited 1159,VALID,2025-01-29,,VertexEnterprises Limited 1159,HIGH,False,5,3,EASY,True
DOC-000124,BID-001159,TND-000006,PAN Document,PAN Document — VertexEnterprises Limited 1159,VALID,2025-01-25,,VertexEnterprises Limited 1159,HIGH,False,5,2,EASY,True
DOC-000125,BID-001159,TND-000006,Experience Certificate,Experience Certificate — VertexEnterprises Limited 1159,VALID,2023-11-28,,VertexEnterprises Limited 1159,MEDIUM,False,3,2,EASY,True
DOC-000126,BID-001797,TND-000006,GST Certificate,GST Certificate — BluePeakManufacturing Pvt Ltd 1797,EXPIRED,2025-02-22,2025-04-07,BluePeakManufacturing Pvt Ltd 1797,MEDIUM,False,3,3,EASY,True
DOC-000127,BID-001797,TND-000006,Supporting Document,Supporting Document — BluePeakManufacturing Pvt Ltd 1797,EXPIRED,2026-01-24,,BluePeakManufacturing Pvt Ltd 1797,MEDIUM,False,3,1,EASY,True
DOC-000128,BID-001797,TND-000006,Udyam/MSME Certificate,Udyam/MSME Certificate — BluePeakManufacturing Pvt Ltd 1797,EXPIRED,2024-07-31,2024-11-29,BluePeakManufacturing Pvt Ltd 1797,HIGH,False,3,3,EASY,True
DOC-000129,BID-001797,TND-000006,Financial/Turnover Document,Financial/Turnover Document — BluePeakManufacturing Pvt Ltd 1797,EXPIRED,2024-09-11,,BluePeakManufacturing Pvt Ltd 1797,HIGH,False,4,3,EASY,True
DOC-000130,BID-001797,TND-000006,PAN Document,PAN Document — BluePeakManufacturing Pvt Ltd 1797,EXPIRED,2024-05-31,,BluePeakManufacturing Pvt Ltd 1797,LOW,False,4,4,EASY,True
DOC-000131,BID-001797,TND-000006,Experience Certificate,Experience Certificate — BluePeakManufacturing Pvt Ltd 1797,EXPIRED,2026-03-16,,BluePeakManufacturing Pvt Ltd 1797,HIGH,False,5,5,EASY,True
DOC-000132,BID-000635,TND-000007,GST Certificate,GST Certificate — ZenithSolutions LLP 0635,VALID,2024-09-27,2026-05-22,ZenithSolutions LLP 0635,LOW,False,5,1,HARD,True
DOC-000133,BID-000635,TND-000007,OEM Authorization,OEM Authorization — ZenithSolutions LLP 0635,VALID,2025-04-26,2026-11-24,ZenithSolutions LLP 0635,HIGH,False,4,1,HARD,True
DOC-000134,BID-001792,TND-000007,GST Certificate,GST Certificate — MeridianInfotech Limited 1792,VALID,2024-01-03,2026-05-22,MeridianInfotech Limited 1792,LOW,True,5,5,HARD,True
DOC-000135,BID-001792,TND-000007,Supporting Document,Supporting Document — MeridianInfotech Limited 1792,VALID,2024-08-14,,MeridianInfotech Limited 1792,MEDIUM,False,6,5,HARD,True
DOC-000136,BID-001792,TND-000007,Udyam/MSME Certificate,Udyam/MSME Certificate — MeridianInfotech Limited 1792,VALID,2025-11-16,2027-02-25,MeridianInfotech Limited 1792,HIGH,False,6,2,HARD,True
DOC-000137,BID-001792,TND-000007,OEM Authorization,OEM Authorization — MeridianInfotech Limited 1792,VALID,2024-07-29,2026-05-22,MeridianInfotech Limited 1792,HIGH,False,6,3,HARD,True
DOC-000138,BID-001792,TND-000007,Financial/Turnover Document,Financial/Turnover Document — MeridianInfotech Limited 1792,VALID,2025-05-23,,MeridianInfotech Limited 1792,HIGH,True,6,5,HARD,True
DOC-000139,BID-001792,TND-000007,PAN Document,PAN Document — MeridianInfotech Limited 1792,VALID,2024-04-15,,MeridianInfotech Limited 1792,LOW,True,3,2,HARD,True
DOC-000140,BID-001792,TND-000007,Experience Certificate,Experience Certificate — MeridianInfotech Limited 1792,VALID,2026-02-20,,MeridianInfotech Limited 1792,MEDIUM,False,6,5,HARD,True
DOC-000141,BID-001680,TND-000007,GST Certificate,GST Certificate — AsterIndustries Pvt Ltd 1680,VALID,2025-02-12,2026-08-28,AsterIndustries Pvt Ltd 1680,LOW,False,3,3,HARD,True
DOC-000142,BID-001680,TND-000007,Supporting Document,Supporting Document — AsterIndustries Pvt Ltd 1680,VALID,2024-03-23,,AsterIndustries Pvt Ltd 1680,HIGH,False,3,3,HARD,True
DOC-000143,BID-001680,TND-000007,Udyam/MSME Certificate,Udyam/MSME Certificate — AsterIndustries Pvt Ltd 1680,INCOMPLETE,2024-10-24,2026-06-07,AsterIndustries Pvt Ltd 1680,MEDIUM,False,6,4,HARD,True
DOC-000144,BID-001680,TND-000007,OEM Authorization,OEM Authorization — AsterIndustries Pvt Ltd 1680,INCOMPLETE,2025-02-13,2026-07-31,AsterIndustries Pvt Ltd 1680,MEDIUM,False,6,1,HARD,True
DOC-000145,BID-001680,TND-000007,Financial/Turnover Document,Financial/Turnover Document — AsterIndustries Pvt Ltd 1680,INCOMPLETE,2025-12-06,,AsterIndustries Pvt Ltd 1680,MEDIUM,True,6,2,HARD,True
DOC-000146,BID-001680,TND-000007,PAN Document,PAN Document — AsterIndustries Pvt Ltd 1680,INCOMPLETE,2024-09-06,,AsterIndustries Pvt Ltd 1680,HIGH,False,5,5,HARD,True
DOC-000147,BID-001680,TND-000007,Experience Certificate,Experience Certificate — AsterIndustries Pvt Ltd 1680,VALID,2025-04-01,,AsterIndustries Pvt Ltd 1680,HIGH,False,4,3,HARD,True
DOC-000148,BID-000217,TND-000007,GST Certificate,GST Certificate — TruGridEngineering Limited 0217,VALID,2025-11-16,2027-06-25,TruGridEngineering Limited 0217,MEDIUM,False,5,4,HARD,True
DOC-000149,BID-000217,TND-000007,Supporting Document,Supporting Document — TruGridEngineering Limited 0217,VALID,2025-05-11,,TruGridEngineering Limited 0217,HIGH,False,6,6,HARD,True
DOC-000150,BID-000217,TND-000007,Udyam/MSME Certificate,Udyam/MSME Certificate — TruGridEngineering Limited 0217,VALID,2024-11-01,2026-07-27,TruGridEngineering Limited 0217,MEDIUM,False,4,4,HARD,True
DOC-000151,BID-000217,TND-000007,OEM Authorization,OEM Authorization — TruGridEngineering Limited 0217,VALID,2023-12-31,2026-05-22,TruGridEngineering Limited 0217,MEDIUM,False,5,3,HARD,True
DOC-000152,BID-000217,TND-000007,Financial/Turnover Document,Financial/Turnover Document — TruGridEngineering Limited 0217,VALID,2026-04-11,,TruGridEngineering Limited 0217,HIGH,False,3,1,HARD,True
DOC-000153,BID-000217,TND-000007,PAN Document,PAN Document — TruGridEngineering Limited 0217,VALID,2024-10-25,,TruGridEngineering Limited 0217,MEDIUM,False,6,3,HARD,True
DOC-000154,BID-000217,TND-000007,Experience Certificate,Experience Certificate — TruGridEngineering Limited 0217,VALID,2024-09-17,,TruGridEngineering Limited 0217,HIGH,False,5,4,HARD,True
DOC-000155,BID-001888,TND-000007,GST Certificate,GST Certificate — MeridianInfotech Limited 1888,VALID,2024-11-08,2026-05-22,MeridianInfotech Limited 1888,LOW,False,3,1,HARD,True
DOC-000156,BID-001888,TND-000007,Supporting Document,Supporting Document — MeridianInfotech Limited 1888,VALID,2024-09-12,,MeridianInfotech Limited 1888,HIGH,False,5,4,HARD,True
DOC-000157,BID-001888,TND-000007,OEM Authorization,OEM Authorization — MeridianInfotech Limited 1888,VALID,2025-02-22,2027-06-13,MeridianInfotech Limited 1888,HIGH,True,4,2,HARD,True
DOC-000158,BID-001888,TND-000007,Financial/Turnover Document,Financial/Turnover Document — MeridianInfotech Limited 1888,VALID,2025-06-21,,MeridianInfotech Limited 1888,MEDIUM,False,5,2,HARD,True
DOC-000159,BID-001888,TND-000007,PAN Document,PAN Document — MeridianInfotech Limited 1888,VALID,2024-11-21,,MeridianInfotech Limited 1888,HIGH,False,4,3,HARD,True
DOC-000160,BID-001888,TND-000007,Experience Certificate,Experience Certificate — MeridianInfotech Limited 1888,VALID,2024-03-09,,MeridianInfotech Limited 1888,MEDIUM,False,4,1,HARD,True
DOC-000161,BID-001784,TND-000008,GST Certificate,GST Certificate — ApexDigital LLP 1784,VALID,2025-07-20,2027-05-14,ApexDigital LLP 1784,HIGH,False,3,1,MEDIUM,True
DOC-000162,BID-001784,TND-000008,Supporting Document,Supporting Document — ApexDigital LLP 1784,VALID,2026-03-01,,ApexDigital LLP 1784,MEDIUM,False,5,5,MEDIUM,True
DOC-000163,BID-001784,TND-000008,Udyam/MSME Certificate,Udyam/MSME Certificate — ApexDigital LLP 1784,VALID,2025-09-17,2027-09-23,ApexDigital LLP 1784,POOR,True,5,2,MEDIUM,True
DOC-000164,BID-001784,TND-000008,Financial/Turnover Document,Financial/Turnover Document — ApexDigital LLP 1784,VALID,2024-04-19,,ApexDigital LLP 1784,HIGH,False,3,1,MEDIUM,True
DOC-000165,BID-001784,TND-000008,PAN Document,PAN Document — ApexDigital LLP 1784,VALID,2025-07-12,,ApexDigital LLP 1784,HIGH,False,6,1,MEDIUM,True
DOC-000166,BID-001784,TND-000008,Experience Certificate,Experience Certificate — ApexDigital LLP 1784,VALID,2024-05-21,,ApexDigital LLP 1784,LOW,False,3,1,MEDIUM,True
DOC-000167,BID-000751,TND-000008,GST Certificate,GST Certificate — VertexEnterprises Limited 0751,VALID,2025-09-27,2027-11-25,VertexEnterprises Limited 0751,LOW,False,5,3,MEDIUM,True
DOC-000168,BID-000751,TND-000008,Supporting Document,Supporting Document — VertexEnterprises Limited 0751,VALID,2025-09-17,,VertexEnterprises Limited 0751,HIGH,False,6,5,MEDIUM,True
DOC-000169,BID-000751,TND-000008,Udyam/MSME Certificate,Udyam/MSME Certificate — VertexEnterprises Limited 0751,VALID,2024-01-20,2026-07-16,VertexEnterprises Limited 0751,HIGH,False,5,1,MEDIUM,True
DOC-000170,BID-000751,TND-000008,Financial/Turnover Document,Financial/Turnover Document — VertexEnterprises Limited 0751,VALID,2025-10-11,,VertexEnterprises Limited 0751,MEDIUM,False,6,3,MEDIUM,True
DOC-000171,BID-000751,TND-000008,PAN Document,PAN Document — VertexEnterprises Limited 0751,VALID,2025-01-08,,VertexEnterprises Limited 0751,HIGH,False,6,3,MEDIUM,True
DOC-000172,BID-000751,TND-000008,Experience Certificate,Experience Certificate — VertexEnterprises Limited 0751,VALID,2025-04-29,,VertexEnterprises Limited 0751,HIGH,False,4,3,MEDIUM,True
DOC-000173,BID-000841,TND-000008,GST Certificate,GST Certificate — TruGridEngineering Limited 0841,VALID,2025-11-28,2028-03-14,TruGridEngineering Limited 0841,MEDIUM,False,5,2,MEDIUM,True
DOC-000174,BID-000841,TND-000008,Supporting Document,Supporting Document — TruGridEngineering Limited 0841,VALID,2025-11-12,,TruGridEngineering Limited 0841,HIGH,True,4,1,MEDIUM,True
DOC-000175,BID-000841,TND-000008,Udyam/MSME Certificate,Udyam/MSME Certificate — TruGridEngineering Limited 0841,VALID,2025-10-06,2026-11-09,TruGridEngineering Limited 0841,HIGH,False,6,5,MEDIUM,True
DOC-000176,BID-000841,TND-000008,Financial/Turnover Document,Financial/Turnover Document — TruGridEngineering Limited 0841,VALID,2026-01-29,,TruGridEngineering Limited 0841,HIGH,False,3,1,MEDIUM,True
DOC-000177,BID-000841,TND-000008,PAN Document,PAN Document — TruGridEngineering Limited 0841,VALID,2025-12-13,,TruGridEngineering Limited 0841,LOW,False,6,3,MEDIUM,True
DOC-000178,BID-000841,TND-000008,Experience Certificate,Experience Certificate — TruGridEngineering Limited 0841,VALID,2025-12-16,,TruGridEngineering Limited 0841,HIGH,False,6,1,MEDIUM,True
DOC-000179,BID-001701,TND-000009,GST Certificate,GST Certificate — BluePeakManufacturing Pvt Ltd 1701,VALID,2024-09-05,2026-11-03,BluePeakManufacturing Pvt Ltd 1701,HIGH,False,4,2,MEDIUM,True
DOC-000180,BID-001701,TND-000009,Supporting Document,Supporting Document — BluePeakManufacturing Pvt Ltd 1701,EXPIRED,2025-07-22,,BluePeakManufacturing Pvt Ltd 1701,MEDIUM,True,5,5,MEDIUM,True
DOC-000181,BID-001701,TND-000009,Financial/Turnover Document,Financial/Turnover Document — BluePeakManufacturing Pvt Ltd 1701,VALID,2025-02-04,,BluePeakManufacturing Pvt Ltd 1701,MEDIUM,False,6,2,MEDIUM,True
DOC-000182,BID-001701,TND-000009,PAN Document,PAN Document — BluePeakManufacturing Pvt Ltd 1701,VALID,2025-04-20,,BluePeakManufacturing Pvt Ltd 1701,HIGH,False,3,2,MEDIUM,True
DOC-000183,BID-001701,TND-000009,Experience Certificate,Experience Certificate — BluePeakManufacturing Pvt Ltd 1701,EXPIRED,2024-09-27,,BluePeakManufacturing Pvt Ltd 1701,MEDIUM,False,5,3,MEDIUM,True
DOC-000184,BID-000359,TND-000009,GST Certificate,GST Certificate — PioneerSolutions LLP 0359,VALID,2024-09-30,2026-11-03,PioneerSolutions LLP 0359,HIGH,True,6,2,MEDIUM,True
DOC-000185,BID-000359,TND-000009,Supporting Document,Supporting Document — PioneerSolutions LLP 0359,VALID,2026-03-14,,PioneerSolutions LLP 0359,HIGH,False,5,1,MEDIUM,True
DOC-000186,BID-000359,TND-000009,Udyam/MSME Certificate,Udyam/MSME Certificate — PioneerSolutions LLP 0359,VALID,2025-07-20,2027-07-07,PioneerSolutions LLP 0359,MEDIUM,False,6,2,MEDIUM,True
DOC-000187,BID-000359,TND-000009,Financial/Turnover Document,Financial/Turnover Document — PioneerSolutions LLP 0359,VALID,2024-08-20,,PioneerSolutions LLP 0359,HIGH,False,6,3,MEDIUM,True
DOC-000188,BID-000359,TND-000009,PAN Document,PAN Document — PioneerSolutions LLP 0359,VALID,2024-04-23,,PioneerSolutions LLP 0359,MEDIUM,False,5,1,MEDIUM,True
DOC-000189,BID-000359,TND-000009,Experience Certificate,Experience Certificate — PioneerSolutions LLP 0359,VALID,2024-07-16,,PioneerSolutions LLP 0359,MEDIUM,False,4,4,MEDIUM,True
DOC-000190,BID-001010,TND-000009,GST Certificate,GST Certificate — NextEraTechnologies LLP 1010,VALID,2026-04-09,2028-01-19,NextEraTechnologies LLP 1010,HIGH,False,5,3,MEDIUM,True
