tender_id,bidder_id,total_requirements,mandatory_requirements,compliant_count,partially_compliant_count,non_compliant_count,insufficient_evidence_count,compliance_percentage,missing_document_count,expired_document_count,invalid_document_count,inconsistency_count,evidence_confidence_average,mandatory_failure_count,financial_requirement_failure,experience_requirement_failure,registration_requirement_failure,authorization_requirement_failure,document_quality_score,risk_level
TND-000001,BID-001090,24,16,12,3,1,8,50.0,0,0,0,0,0.8071,11,1,1,1,1,0.7857,MEDIUM
TND-000001,BID-000942,24,16,16,4,1,3,66.67,0,0,0,0,0.8077,4,1,1,0,0,0.8214,LOW
TND-000001,BID-001691,24,16,6,3,1,14,25.0,0,0,0,0,0.3713,11,1,1,0,1,0.875,HIGH
TND-000001,BID-001424,24,16,18,0,2,4,75.0,0,0,0,5,0.935,5,0,1,1,1,0.7857,MEDIUM
TND-000001,BID-001516,24,16,21,2,1,0,87.5,0,0,0,0,0.8864,2,1,1,0,0,0.7857,LOW
TND-000003,BID-000947,23,15,14,9,0,0,60.87,0,0,0,0,0.8384,6,0,0,0,0,0.8571,LOW
TND-000003,BID-000491,23,15,3,0,1,19,13.04,1,0,0,0,0.2436,12,1,1,1,0,0.875,HIGH
TND-000003,BID-001940,23,15,18,4,0,1,78.26,0,0,0,0,0.8647,4,1,1,0,1,0.875,LOW
TND-000006,BID-000220,25,14,19,0,3,3,76.0,0,0,0,0,0.8471,4,1,1,0,0,0.8,LOW
TND-000006,BID-001353,25,14,14,2,1,8,56.0,0,0,0,0,0.8356,8,1,1,0,0,0.875,MEDIUM
TND-000006,BID-001159,25,14,21,0,3,1,84.0,0,0,0,0,0.8797,4,1,1,0,0,0.7917,LOW
TND-000006,BID-001797,25,14,0,0,13,12,0.0,0,6,0,0,0.9423,14,1,1,1,0,0.8333,HIGH
TND-000007,BID-000635,28,20,2,0,0,26,7.14,5,0,0,0,0.0928,18,1,1,1,0,0.75,HIGH
TND-000007,BID-001792,28,20,23,0,0,5,82.14,0,0,0,0,0.7447,4,1,1,0,0,0.7857,LOW
TND-000007,BID-001680,28,20,24,1,3,0,85.71,0,0,0,0,0.7575,3,1,1,0,0,0.8214,LOW
TND-000007,BID-000217,28,20,26,0,2,0,92.86,0,0,0,0,0.8576,1,1,0,0,0,0.8571,LOW
TND-000007,BID-001888,28,20,26,1,0,1,92.86,0,0,0,0,0.8907,2,0,0,0,1,0.8333,LOW
TND-000008,BID-001784,28,16,24,2,1,1,85.71,0,0,0,0,0.8774,3,1,1,0,0,0.75,LOW
TND-000008,BID-000751,28,16,25,1,0,2,89.29,0,0,0,0,0.8985,2,1,1,0,0,0.875,LOW
TND-000008,BID-000841,28,16,19,1,1,7,67.86,0,0,0,0,0.848,6,1,0,1,0,0.875,MEDIUM
TND-000009,BID-001701,25,15,2,1,3,19,8.0,0,2,0,0,0.7966,13,1,1,0,0,0.85,HIGH
TND-000009,BID-000359,25,15,9,1,3,12,36.0,0,0,0,0,0.8352,9,1,1,1,0,0.875,MEDIUM
TND-000009,BID-001010,25,15,16,0,1,8,64.0,0,0,0,0,0.7454,6,0,1,0,0,0.95,MEDIUM
TND-000009,BID-001984,25,15,7,0,5,13,28.0,0,0,0,3,0.8959,10,1,1,1,0,0.7917,HIGH
TND-000009,BID-001496,25,15,20,0,5,0,80.0,0,0,0,0,0.8354,2,1,1,0,0,0.8333,LOW
TND-000010,BID-000138,27,20,4,0,0,23,14.81,3,0,0,0,0.1955,17,1,0,1,0,0.6667,HIGH
TND-000010,BID-000612,27,20,7,0,12,8,25.93,0,2,0,0,0.83,15,0,1,0,0,0.9167,HIGH
TND-000010,BID-000113,27,20,24,1,1,1,88.89,0,0,0,0,0.7641,2,1,0,1,0,0.75,LOW
TND-000011,BID-000719,28,16,21,0,3,4,75.0,0,0,0,0,0.7977,5,1,1,0,0,0.65,LOW
TND-000011,BID-001643,28,16,21,0,2,5,75.0,0,0,0,0,0.8052,5,1,1,1,0,0.8,LOW
TND-000011,BID-001896,28,16,23,3,1,1,82.14,0,0,0,0,0.9298,4,1,1,1,0,0.9167,LOW
TND-000011,BID-000364,28,16,22,0,2,4,78.57,0,0,0,0,0.8222,4,1,1,0,0,0.85,LOW
TND-000012,BID-001484,22,13,4,0,2,16,18.18,1,0,0,0,0.3184,11,1,1,1,1,0.7,HIGH
TND-000012,BID-000798,22,13,15,2,3,2,68.18,0,0,0,0,0.8232,6,1,1,0,1,0.9286,MEDIUM
TND-000012,BID-001004,22,13,17,0,1,4,77.27,4,0,0,0,0.6613,3,1,1,0,0,0.875,MEDIUM
TND-000012,BID-000184,22,13,6,0,1,15,27.27,1,0,0,0,0.3165,9,0,1,0,1,0.8125,HIGH
TND-000013,BID-000238,29,17,23,3,1,2,79.31,0,0,0,0,0.866,4,1,1,0,0,0.7,LOW
TND-000013,BID-001896,29,17,6,0,1,22,20.69,0,0,0,0,0.3211,13,1,1,1,0,0.8,HIGH
TND-000013,BID-001699,29,17,14,0,0,15,48.28,0,0,0,0,0.8162,10,0,1,1,0,0.8333,MEDIUM
TND-000013,BID-001575,29,17,23,3,1,2,79.31,0,0,0,0,0.7894,4,1,1,1,0,1.0,LOW
TND-000014,BID-001413,25,18,22,1,2,0,88.0,0,0,0,0,0.9051,3,1,1,0,0,0.75,LOW
TND-000014,BID-000173,25,18,20,0,1,4,80.0,0,0,0,0,0.777,4,0,1,1,0,0.75,LOW
TND-000014,BID-001374,25,18,13,10,2,0,52.0,0,0,0,0,0.8729,9,1,1,0,0,0.8333,MEDIUM
TND-000015,BID-000524,25,17,17,0,1,7,68.0,0,0,0,0,0.7665,4,0,1,0,0,0.8333,LOW
TND-000015,BID-001923,25,17,4,1,11,9,16.0,0,3,0,0,0.8246,13,0,1,1,0,0.6667,HIGH
TND-000015,BID-001938,25,17,12,2,3,8,48.0,0,0,0,0,0.8803,11,1,1,1,0,0.75,MEDIUM
TND-000015,BID-000452,25,17,16,8,1,0,64.0,0,0,0,0,0.8794,5,0,1,0,0,0.8333,LOW
TND-000015,BID-000317,25,17,14,9,1,1,56.0,0,0,0,0,0.9014,8,1,1,0,0,0.7917,MEDIUM
TND-000016,BID-000478,29,16,2,0,8,19,6.9,0,3,0,0,0.7572,14,1,0,1,0,0.8,HIGH
TND-000016,BID-001010,29,16,14,0,1,14,48.28,0,0,0,0,0.7583,8,0,1,0,0,0.8,MEDIUM
TND-000016,BID-001044,29,16,27,0,2,0,93.1,0,0,0,0,0.8499,2,1,1,0,0,0.7917,LOW
TND-000017,BID-000045,25,18,14,10,1,0,56.0,0,0,0,0,0.8108,9,1,1,0,0,0.75,MEDIUM
TND-000017,BID-000310,25,18,3,1,0,21,12.0,1,0,0,0,0.1605,15,0,1,1,0,0.8333,HIGH
TND-000017,BID-001813,25,18,16,5,2,2,64.0,0,0,0,0,0.9104,8,1,1,1,0,0.7917,MEDIUM
TND-000017,BID-001355,25,18,21,0,3,1,84.0,0,0,0,0,0.8034,4,1,1,1,0,0.9167,LOW
TND-000017,BID-001938,25,18,9,1,1,14,36.0,0,0,0,0,0.3811,11,1,1,0,0,0.9,HIGH
TND-000018,BID-001667,26,19,23,0,1,2,88.46,0,0,0,0,0.8248,3,1,0,1,0,0.6071,LOW
TND-000018,BID-000253,26,19,0,0,12,14,0.0,1,0,5,0,0.8058,19,1,1,1,1,0.9167,HIGH
TND-000018,BID-000498,26,19,3,1,0,22,11.54,0,0,0,0,0.2102,16,1,1,1,0,1.0,HIGH
TND-000018,BID-001129,26,19,21,1,1,3,80.77,0,0,0,0,0.7678,5,0,1,1,0,0.75,LOW
TND-000021,BID-001617,29,18,24,0,2,3,82.76,0,0,0,0,0.818,4,1,0,1,1,0.875,LOW
TND-000021,BID-000498,29,18,13,11,1,4,44.83,0,0,0,0,0.8383,10,1,1,0,0,0.75,MEDIUM
TND-000021,BID-000175,29,18,5,0,0,24,17.24,0,0,0,0,0.2128,14,0,0,1,1,0.8,HIGH
TND-000022,BID-001402,28,19,2,0,5,21,7.14,0,0,3,0,0.3441,17,1,1,0,1,0.875,HIGH
TND-000022,BID-000512,28,19,6,1,3,18,21.43,0,0,0,0,0.3211,13,1,1,0,0,0.7917,HIGH
TND-000022,BID-000544,28,19,24,3,0,1,85.71,1,0,0,0,0.772,4,1,1,0,1,0.7917,LOW
TND-000022,BID-001383,28,19,24,1,1,2,85.71,0,0,0,0,0.8652,3,0,1,0,1,0.7083,LOW
TND-000023,BID-001218,30,18,15,2,1,12,50.0,0,0,0,0,0.8987,10,1,1,1,0,0.8333,MEDIUM
TND-000023,BID-001514,30,18,15,0,2,13,50.0,0,0,0,0,0.856,10,1,1,1,0,0.9,MEDIUM
TND-000023,BID-000671,30,18,25,0,2,3,83.33,0,0,0,0,0.7746,5,1,1,1,0,0.9,LOW
TND-000024,BID-001596,28,20,3,0,0,25,10.71,5,0,0,0,0.1594,18,1,1,1,1,0.75,HIGH
TND-000024,BID-001694,28,20,23,1,2,2,82.14,0,0,0,0,0.7571,4,1,1,1,0,1.0,LOW
TND-000024,BID-001005,28,20,9,1,1,17,32.14,0,0,0,0,0.8985,12,1,0,1,0,0.8929,MEDIUM
TND-000025,BID-001814,29,18,13,12,3,1,44.83,0,0,0,0,0.8625,10,1,1,0,0,0.8571,MEDIUM
TND-000025,BID-000499,29,18,28,0,1,0,96.55,0,0,0,0,0.8194,1,0,1,0,0,0.6786,LOW
TND-000025,BID-000503,29,18,5,0,12,12,17.24,0,0,0,5,0.7801,13,0,1,1,0,0.9286,HIGH
TND-000025,BID-001011,29,18,10,13,2,4,34.48,0,0,0,0,0.7731,10,1,1,0,0,0.9583,MEDIUM
TND-000026,BID-001215,25,18,17,6,1,1,68.0,1,0,0,0,0.8472,5,0,1,0,1,0.875,LOW
TND-000026,BID-000586,25,18,11,8,2,4,44.0,0,0,0,0,0.7214,11,1,1,1,0,0.9167,MEDIUM
TND-000026,BID-000779,25,18,21,0,0,4,84.0,1,0,0,0,0.8488,3,0,1,0,1,0.8333,LOW
TND-000027,BID-000072,28,20,7,0,1,20,25.0,1,0,2,0,0.7078,14,1,0,1,1,0.85,HIGH
TND-000027,BID-000207,28,20,12,4,1,11,42.86,1,0,0,0,0.8889,12,1,1,0,1,0.875,MEDIUM
TND-000027,BID-000750,28,20,7,1,0,20,25.0,0,0,0,0,0.3016,14,1,1,0,0,0.8333,HIGH
TND-000027,BID-000257,28,20,15,8,4,1,53.57,0,0,0,0,0.8486,11,1,1,0,0,0.9286,MEDIUM
TND-000027,BID-001225,28,20,1,0,12,15,3.57,0,0,0,6,0.859,19,1,1,1,1,0.9286,HIGH
TND-000028,BID-000439,29,17,28,0,1,0,96.55,0,0,0,0,0.9254,1,0,1,0,0,0.9643,LOW
TND-000028,BID-000276,29,17,19,1,1,8,65.52,0,0,0,0,0.8755,7,0,1,1,1,0.75,MEDIUM
TND-000028,BID-000466,29,17,21,0,1,7,72.41,0,0,0,0,0.8283,5,0,1,0,1,0.7857,LOW
TND-000028,BID-001587,29,17,21,0,4,4,72.41,0,0,0,0,0.8308,5,1,1,0,0,0.875,LOW
TND-000028,BID-001946,29,17,18,0,2,9,62.07,0,0,0,0,0.7891,8,1,1,0,0,0.9167,MEDIUM
TND-000029,BID-001743,30,19,13,9,1,7,43.33,1,0,0,0,0.8586,10,1,1,0,1,0.9583,MEDIUM
TND-000029,BID-001921,30,19,28,1,1,0,93.33,0,0,0,0,0.9455,2,0,1,1,0,0.8214,LOW
TND-000029,BID-000879,30,19,4,0,14,12,13.33,0,5,0,0,0.8107,17,1,1,1,1,0.9286,HIGH
TND-000029,BID-001180,30,19,2,5,0,23,6.67,0,0,0,0,0.2426,19,1,1,1,1,0.85,HIGH
TND-000029,BID-000374,30,19,0,0,11,19,0.0,0,0,0,6,0.8097,19,1,1,1,1,0.8929,HIGH
TND-000030,BID-000437,27,18,22,3,0,2,81.48,1,0,0,0,0.8484,4,1,1,0,1,0.9583,LOW
TND-000030,BID-000984,27,18,15,10,1,1,55.56,0,0,0,0,0.8746,7,1,1,0,0,0.6429,MEDIUM
TND-000030,BID-001153,27,18,1,3,1,22,3.7,1,0,0,0,0.1959,17,1,1,1,1,0.6875,HIGH
TND-000030,BID-001901,27,18,24,1,0,2,88.89,0,0,0,0,0.7887,2,0,1,0,0,0.9583,LOW
TND-000031,BID-000248,30,20,5,5,0,20,16.67,0,0,0,0,0.3251,16,1,0,0,0,0.95,HIGH
TND-000031,BID-000180,30,20,16,9,4,1,53.33,0,0,0,0,0.8337,10,1,1,1,0,0.625,MEDIUM
TND-000031,BID-000893,30,20,23,2,1,4,76.67,0,0,0,0,0.8253,5,1,1,0,0,0.9583,LOW
TND-000031,BID-001235,30,20,26,0,0,4,86.67,0,0,0,0,0.8164,3,1,1,1,0,0.75,LOW
TND-000032,BID-001309,25,14,13,12,0,0,52.0,0,0,0,0,0.8698,6,0,0,0,0,0.875,MEDIUM
TND-000032,BID-001822,25,14,4,0,1,20,16.0,0,0,0,0,0.7132,12,0,1,1,0,0.7,HIGH
TND-000032,BID-001453,25,14,4,0,9,12,16.0,0,0,4,0,0.8589,12,0,1,1,0,0.875,HIGH
TND-000032,BID-001816,25,14,21,0,0,4,84.0,0,0,0,0,0.7581,2,0,0,0,0,0.9,LOW
TND-000033,BID-000938,30,18,21,0,0,9,70.0,0,0,0,0,0.6254,4,1,1,1,0,0.9,MEDIUM
TND-000033,BID-000102,30,18,21,1,0,8,70.0,0,0,0,0,0.6386,4,1,1,1,0,1.0,LOW
TND-000033,BID-000792,30,18,14,1,2,13,46.67,0,0,0,0,0.7182,7,1,1,1,0,0.9,MEDIUM
TND-000033,BID-000215,30,18,24,1,0,5,80.0,0,0,0,0,0.6619,2,0,0,1,0,0.65,LOW
TND-000033,BID-001410,30,18,21,1,0,8,70.0,3,0,0,0,0.6961,4,1,1,1,0,0.8333,MEDIUM
TND-000034,BID-001189,30,19,27,2,1,0,90.0,0,0,0,0,0.845,2,0,1,0,0,0.6667,LOW
TND-000034,BID-001833,30,19,29,0,0,1,96.67,0,0,0,0,0.8003,1,0,1,0,0,0.7917,LOW
